"Region","Clinic Name","Phone","Address"
"서울특별시", "연세문상영의원", "02-2057-3050", "서울특별시 강남구 강남대로 240 양재SK허브프리모 4층 411,412 (도곡동)"
"서울특별시", "강남푸른안과의원", "02-6956-8882", "서울특별시 강남구 강남대로 372 FINE TOWER 7층 (역삼동)"
"서울특별시", "에스원이비인후과의원", "02-516-8871", "서울특별시 강남구 강남대로 598 보림빌딩 6층 (논현동)"
"서울특별시", "강남우리집의원", "2291-8885", "서울특별시 강남구 개포로 229 정원빌딩 2층 4호 (개포동)"
"서울특별시", "밸런스본의원", "02-6952-7565", "서울특별시 강남구 논현로 503 송촌빌딩 3층 (역삼동)"
"서울특별시", "365열린가정의학과의원", "02-565-7119", "서울특별시 강남구 도곡로 405 삼환 아르누보2 204호 (대치동)"
"서울특별시", "케이플러스청담의원", "02-514-7566", "서울특별시 강남구 도산대로 333 K+ 메디칼타워 2,3,13층 (신사동)"
"서울특별시", "주앤의원", "02-518-3458", "서울특별시 강남구 선릉로155길 3 2,3,4층 (신사동)"
"서울특별시", "서울이내과의원", "02-536-3967", "서울특별시 강남구 압구정로 160 제성빌딩 3층 301-A호 (신사동)"
"서울특별시", "동선소아과의원", "02-459-4500", "서울특별시 강남구 양재대로55길 6 수서1단지아파트 상가 312-1호 (일원동)"
"서울특별시", "연세라파의원", "02-931-1051", "서울특별시 강남구 역삼로 310 한솔필리아 2층 19호, 20호 (역삼동)"
"서울특별시", "서울연세의원", "02-418-7731", "서울특별시 강남구 영동대로 210 쌍용대치종합상가 2층 201A호 (대치동, 쌍용아파트)"
"서울특별시", "연세재활의학과의원", "02-3411-8275", "서울특별시 강남구 일원로 115 삼성생명 일원역 빌딩 B동 303호 (일원동)"
"서울특별시", "이관우내과의원", "02-3411-0588", "서울특별시 강남구 일원로 35 남경빌딩 2층 (일원동)"
"서울특별시", "정소아과의원", "02-3013-9739", "서울특별시 강동구 상암로 11-0 (암사동)"
"서울특별시", "위드연의원", "02-441-7935", "서울특별시 강동구 고덕로 266 고덕역 대명벨리온 4층 405,406,407호 (명일동)"
"서울특별시", "박노준산부인과의원", "02-483-3600", "서울특별시 강동구 구천면로 238 (천호동)"
"서울특별시", "명성연세내과의원", "02-441-9905", "서울특별시 강동구 구천면로 428 308호 (명일동, 센트로빌)"
"서울특별시", "삼성에프엠의원", "02-3426-7570", "서울특별시 강동구 양재대로 1637 2층 1호 (명일동)"
"서울특별시", "수마취통증의학과의원", "02-442-7582", "서울특별시 강동구 올림픽로 774 (암사동)"
"서울특별시", "안원식서울마취통증의학과의원", "02-766-3087", "서울특별시 강동구 올림픽로 783 3층 (암사동)"
"서울특별시", "연세이내과의원", "02-475-2935", "서울특별시 강동구 진황도로61길 7 202호 (둔촌동, 둔촌동현대아파트)"
"서울특별시", "다사랑산부인과의원", "02-484-0868", "서울특별시 강동구 천호대로 1124 (성내동)"
"서울특별시", "노민관가정의학과의원", "02-489-2410", "서울특별시 강동구 천호대로 1210 3층 (둔촌동)"
"서울특별시", "오수혁내과의원", "02-478-2489", "서울특별시 강동구 천호대로 997 (천호동, 신라빌딩)"
"서울특별시", "송림외과의원", "02-907-7799", "서울특별시 강북구 노해로 99-1 (수유동)"
"서울특별시", "서울조이내과의원", "02-980-1012", "서울특별시 강북구 도봉로 174 2층 (미아동)"
"서울특별시", "서울탑의원", "02-946-0016", "서울특별시 강북구 도봉로 253 4층 (수유동)"
"서울특별시", "미래마취통증의학과의원", "02-981-6523", "서울특별시 강북구 도봉로 253 5층 (수유동)"
"서울특별시", "사랑샘터정신건강의학과의원", "02-929-0241", "서울특별시 강북구 도봉로 30 9층 903호 (미아동, 에코피아빌딩)"
"서울특별시", "서울에이치내과의원", "02-905-7559", "서울특별시 강북구 도봉로 323 용신빌딩 4층 401호 (수유동)"
"서울특별시", "유로탑비뇨기과의원", "02-999-1640", "서울특별시 강북구 도봉로 325 9층 (수유동)"
"서울특별시", "자애내과외과의원", "02-905-2694", "서울특별시 강북구 도봉로 393 (수유동, 자애의원)"
